temp,hum,pres,volt,mq5,mq135,tempw,hums,timestamp
26.80,41.70,94054.81,4.93,391,310,18.81,3,2016-11-27T13:33:28.123Z
26.80,40.60,94054.80,5.00,396,311,18.81,4,2016-11-27T13:33:14.927Z
26.80,40.60,94058.77,4.95,416,310,18.75,6,2016-11-27T13:33:03.082Z
26.70,41.80,94056.95,4.98,393,308,18.75,8,2016-11-27T13:32:40.893Z
26.70,41.50,94057.17,4.97,397,308,18.75,5,2016-11-27T13:32:28.365Z
26.70,41.30,94059.05,5.00,408,308,18.75,7,2016-11-27T13:32:16.064Z
26.70,41.70,94059.95,5.00,408,307,18.75,5,2016-11-27T13:32:04.515Z
26.70,42.00,94056.89,4.93,387,306,18.75,5,2016-11-27T13:31:50.955Z
26.60,41.50,94056.86,4.95,400,303,18.75,4,2016-11-27T13:31:39.566Z
26.60,42.70,94062.39,4.95,396,308,18.69,8,2016-11-27T13:31:27.867Z
26.60,41.90,94054.60,5.00,432,304,18.69,2,2016-11-27T13:31:15.610Z
26.60,42.60,94059.02,4.98,420,303,18.69,6,2016-11-27T13:31:05.366Z
26.60,42.20,94055.38,4.97,398,307,18.69,5,2016-11-27T13:30:51.786Z
26.50,41.80,94057.11,4.97,452,321,18.69,5,2016-11-27T13:30:32.209Z
26.50,41.80,94054.26,5.00,399,306,18.63,3,2016-11-27T13:30:17.025Z
26.50,42.10,94061.19,4.95,390,309,18.63,7,2016-11-27T13:30:04.946Z
26.40,41.50,94058.13,4.97,405,303,18.63,2,2016-11-27T13:29:52.414Z
26.30,42.80,94065.14,4.95,386,298,18.56,4,2016-11-27T13:29:11.659Z
26.30,42.50,94063.09,5.00,396,301,18.56,7,2016-11-27T13:28:43.869Z
26.30,42.70,94066.55,4.95,385,304,18.56,6,2016-11-27T13:28:26.574Z
26.20,43.30,94066.59,5.00,396,302,18.56,4,2016-11-27T13:28:14.261Z
26.20,42.40,94067.28,5.02,397,300,18.56,3,2016-11-27T13:28:02.035Z
26.10,42.70,94066.75,4.98,416,303,18.56,6,2016-11-27T13:27:48.655Z
26.20,42.30,94065.38,4.97,418,306,18.50,3,2016-11-27T13:27:34.851Z
26.10,42.80,94067.16,4.95,392,300,18.50,5,2016-11-27T13:27:22.998Z
26.10,43.20,94065.21,5.00,383,302,18.50,4,2016-11-27T13:27:00.140Z
26.00,42.60,94065.98,4.97,383,303,18.50,4,2016-11-27T13:26:48.087Z
26.00,42.50,94065.13,5.02,387,302,18.50,3,2016-11-27T13:26:36.263Z
26.00,42.70,94065.19,4.95,398,296,18.44,7,2016-11-27T13:26:24.407Z
26.00,43.00,94064.16,4.95,379,299,18.44,6,2016-11-27T13:26:11.823Z
25.90,42.80,94066.59,4.95,376,299,18.44,5,2016-11-27T13:25:58.688Z
25.90,42.70,94067.33,5.00,381,299,18.44,1,2016-11-27T13:25:47.043Z
25.90,44.40,94068.33,4.98,382,294,18.44,9,2016-11-27T13:25:31.314Z
25.80,45.80,94067.73,5.00,403,297,18.44,6,2016-11-27T13:25:18.870Z
25.70,45.60,94069.84,5.00,402,297,18.38,3,2016-11-27T13:25:06.200Z
25.70,44.80,94066.53,5.00,396,299,18.38,5,2016-11-27T13:24:55.561Z
25.70,43.60,94065.70,4.97,381,301,18.38,4,2016-11-27T13:24:43.592Z
25.60,43.30,94065.94,4.98,418,290,18.38,4,2016-11-27T13:24:31.575Z
25.60,43.10,94067.40,4.98,418,288,18.38,6,2016-11-27T13:24:19.385Z
25.50,43.80,94067.76,4.95,384,296,18.38,3,2016-11-27T13:24:08.064Z
25.40,43.70,94060.78,4.93,380,286,18.31,2,2016-11-27T13:23:26.901Z
25.40,43.10,94062.44,4.97,416,286,18.31,5,2016-11-27T13:23:15.217Z
25.40,43.90,94061.06,5.00,371,293,18.31,4,2016-11-27T13:23:02.970Z
25.40,45.70,94057.45,5.00,389,292,18.25,7,2016-11-27T13:22:51.667Z
25.20,44.10,94062.29,4.95,377,293,18.25,6,2016-11-27T13:22:27.529Z
25.10,43.40,94063.64,4.98,380,289,18.25,5,2016-11-27T13:22:15.092Z
25.10,43.60,94063.42,4.98,413,286,18.25,4,2016-11-27T13:22:02.671Z
25.10,43.80,94063.86,5.02,372,283,18.25,4,2016-11-27T13:21:49.310Z
25.10,44.10,94063.56,5.02,375,288,18.19,4,2016-11-27T13:21:37.453Z
25.00,44.60,94062.05,4.97,392,285,18.19,6,2016-11-27T13:21:25.736Z
25.00,44.70,94065.01,4.97,368,285,18.19,6,2016-11-27T13:21:15.355Z
25.00,45.10,94065.47,4.95,377,289,18.19,6,2016-11-27T13:21:02.250Z
24.90,44.80,94061.52,4.95,367,289,18.19,2,2016-11-27T13:20:48.764Z
24.80,44.70,94064.53,4.93,398,284,18.13,7,2016-11-27T13:20:37.500Z
24.70,46.00,94070.53,4.91,417,290,18.13,7,2016-11-27T13:20:13.688Z
24.60,45.10,94067.66,4.93,401,290,18.13,5,2016-11-27T13:20:01.024Z
24.60,45.10,94066.36,4.95,412,285,18.13,4,2016-11-27T13:19:47.846Z
24.60,44.80,94065.72,4.98,365,290,18.06,2,2016-11-27T13:19:34.729Z
24.30,45.40,94062.56,5.00,382,279,18.00,4,2016-11-27T13:18:32.500Z
24.20,45.40,94060.19,4.98,411,279,18.00,2,2016-11-27T13:18:20.619Z
24.20,45.60,94060.11,4.95,406,278,18.00,6,2016-11-27T13:18:08.235Z
24.20,46.30,94061.44,5.00,370,283,18.00,6,2016-11-27T13:17:55.071Z
24.10,46.40,94063.06,5.00,398,287,18.00,7,2016-11-27T13:17:43.424Z
24.00,46.50,94060.59,4.95,418,279,18.00,5,2016-11-27T13:17:30.061Z
24.00,46.80,94061.55,4.95,400,276,17.94,7,2016-11-27T13:17:18.459Z
23.80,48.50,94065.08,4.97,429,283,17.94,2,2016-11-27T13:16:43.000Z
23.80,48.50,94061.38,4.97,432,288,17.94,2,2016-11-27T13:16:31.881Z
